# {"t_start": 1554460806.1331735, "env_id": "SeaquestNoFrameskip-v4"} 
r,l,t
160.0,616,3932.064781
100.0,457,3936.414696
60.0,525,3941.543385
160.0,559,3946.903619
140.0,644,3952.94361
120.0,630,3959.003844
80.0,465,3963.332403
120.0,604,3968.980195
240.0,1130,3979.444906
60.0,646,3985.276537
60.0,683,3991.403998
80.0,459,3995.503768
120.0,579,4000.699376
200.0,926,4009.143032
100.0,672,4015.523764
80.0,422,4019.29424
140.0,625,4024.975018
80.0,865,4032.815844
60.0,483,4037.151708
40.0,443,4041.149073
100.0,564,4046.429822
100.0,681,4052.62115
140.0,784,4059.670321
80.0,472,4064.469584
100.0,504,4069.639991
160.0,879,4077.920339
40.0,441,4082.087512
60.0,417,4085.695832
120.0,569,4090.574843
400.0,1231,4104.182492
60.0,402,4108.694082
140.0,600,4115.529079
200.0,940,4126.493592
80.0,529,4132.480468
100.0,833,4142.047907
0.0,320,4145.512626
140.0,638,4151.727876
80.0,530,4156.355886
120.0,774,4163.036094
60.0,570,4167.855713
180.0,663,4173.533019
160.0,717,4179.587138
180.0,672,4185.280067
140.0,536,4189.845831
300.0,1014,4198.453244
20.0,690,4204.231229
220.0,1007,4212.792772
40.0,501,4217.020175
160.0,627,4222.303074
20.0,372,4225.404984
80.0,494,4229.569155
80.0,536,4234.250587
100.0,579,4239.194958
60.0,685,4245.195626
20.0,419,4248.9053
80.0,550,4253.501719
40.0,326,4256.239704
40.0,367,4259.332729
120.0,487,4263.528177
60.0,492,4267.824509
100.0,495,4271.967104
320.0,983,4280.374344
60.0,491,4284.532134
240.0,841,4292.129882
100.0,580,4297.728876
160.0,624,4303.456578
100.0,519,4308.155018
100.0,492,4312.599092
120.0,638,4318.607045
60.0,373,4322.165497
80.0,470,4326.723352
120.0,603,4332.433053
200.0,896,4341.019921
40.0,456,4345.298475
80.0,431,4349.454356
240.0,887,4357.882806
120.0,639,4363.945586
220.0,761,4371.151334
100.0,455,4375.672212
80.0,521,4381.456737
140.0,563,4387.20737
60.0,451,4392.202013
360.0,1095,4403.200229
120.0,685,4409.29138
180.0,726,4415.689509
180.0,579,4420.637166
260.0,1037,4429.679684
180.0,1000,4439.602921
160.0,719,4446.340866
220.0,955,4455.089487
140.0,735,4462.08275
120.0,539,4467.102321
80.0,640,4473.166097
200.0,722,4479.893112
60.0,528,4484.870808
100.0,554,4490.021029
320.0,1202,4501.054484
60.0,507,4505.64822
80.0,583,4510.949038
40.0,492,4515.43703
100.0,693,4521.995457
160.0,614,4527.563586
80.0,559,4532.640004
20.0,484,4537.095086
80.0,444,4541.33472
100.0,453,4545.924437
60.0,657,4551.886486
160.0,658,4557.857549
100.0,627,4563.577208
100.0,644,4569.394644
40.0,617,4574.983724
100.0,528,4579.789832
60.0,657,4585.77083
200.0,849,4593.479207
80.0,688,4599.73749
200.0,873,4607.699188
180.0,643,4613.591398
300.0,1019,4622.938391
240.0,870,4631.352904
120.0,452,4635.446951
80.0,477,4639.783371
180.0,847,4647.448863
100.0,619,4653.056811
80.0,470,4657.330377
80.0,503,4661.882225
220.0,917,4670.903347
240.0,1234,4682.87034
100.0,482,4687.6323
40.0,390,4691.276554
180.0,691,4697.73527
80.0,485,4702.252185
120.0,620,4707.910048
120.0,495,4712.425008
120.0,618,4718.168602
120.0,592,4723.50136
80.0,659,4729.4195
40.0,455,4733.48263
40.0,399,4737.040139
100.0,442,4740.989564
80.0,425,4744.783395
20.0,428,4748.629106
180.0,853,4756.313574
80.0,528,4761.035914
60.0,711,4767.427811
100.0,525,4772.164198
200.0,771,4779.105568
120.0,819,4786.494799
140.0,656,4792.366118
100.0,460,4796.486102
160.0,782,4803.515296
20.0,338,4806.516233
120.0,719,4813.000909
200.0,923,4821.34855
180.0,894,4829.388067
120.0,537,4834.19119
120.0,563,4839.234696
40.0,439,4843.145268
100.0,519,4847.785844
40.0,509,4852.330659
220.0,949,4860.875823
220.0,839,4868.466515
140.0,622,4874.266006
120.0,919,4883.02055
60.0,446,4887.122576
100.0,720,4893.89947
100.0,595,4899.52841
140.0,671,4905.715856
140.0,816,4913.22873
100.0,446,4917.331752
60.0,378,4920.753597
120.0,784,4928.080994
120.0,641,4933.959293
160.0,727,4940.561652
0.0,420,4944.330518
80.0,468,4948.662927
40.0,421,4952.646271
80.0,612,4958.335076
120.0,784,4965.570718
160.0,805,4973.503277
60.0,740,4980.427714
20.0,362,4983.818642
80.0,854,4992.216471
80.0,644,4998.711097
80.0,614,5004.465699
120.0,600,5010.503748
80.0,584,5015.971119
120.0,482,5020.307521
220.0,782,5027.393533
20.0,414,5031.086653
440.0,1372,5043.70094
200.0,1024,5053.450867
120.0,460,5058.041536
120.0,718,5064.674818
160.0,732,5071.362895
100.0,541,5076.364539
300.0,1129,5086.749729
380.0,1156,5097.236697
120.0,703,5103.911813
200.0,732,5110.813377
140.0,876,5119.26579
120.0,610,5125.606768
80.0,426,5129.616042
240.0,969,5138.688769
220.0,1209,5150.253663
260.0,877,5158.347659
100.0,554,5163.406104
160.0,639,5169.205611
180.0,727,5176.140031
0.0,588,5181.885688
180.0,696,5188.469044
220.0,858,5196.229283
40.0,391,5199.721964
240.0,950,5208.517433
160.0,591,5213.951867
60.0,442,5218.122735
160.0,631,5224.178506
60.0,459,5228.440104
100.0,535,5233.397866
160.0,599,5239.081634
220.0,752,5245.875484
160.0,805,5253.169967
120.0,517,5257.80756
120.0,773,5264.78387
100.0,503,5269.256902
160.0,534,5274.045118
120.0,562,5279.067654
140.0,514,5283.710233
280.0,971,5292.509724
80.0,580,5297.73374
120.0,541,5302.645599
140.0,555,5307.670156
100.0,602,5313.153459
100.0,684,5319.369828
60.0,645,5325.208207
300.0,1138,5335.837823
60.0,720,5342.564826
140.0,1109,5353.344984
220.0,849,5361.354555
180.0,735,5368.8874
120.0,655,5375.051908
60.0,536,5380.102396
240.0,823,5387.871622
100.0,435,5391.834008
60.0,460,5396.387825
120.0,669,5403.073936
80.0,450,5407.244778
160.0,564,5412.561553
140.0,694,5419.242678
40.0,416,5423.115317
120.0,708,5429.955018
120.0,515,5434.885826
200.0,633,5440.854856
140.0,546,5445.769707
80.0,467,5449.978446
120.0,736,5456.685502
140.0,799,5463.920146
100.0,584,5469.173092
300.0,1447,5483.034009
180.0,768,5490.395313
220.0,927,5499.282536
80.0,614,5505.042127
240.0,928,5514.185696
160.0,550,5519.359821
60.0,607,5525.277987
220.0,738,5532.472737
60.0,655,5538.693096
160.0,613,5544.251225
100.0,519,5548.9327
220.0,720,5555.473201
220.0,970,5564.265677
40.0,410,5567.956802
140.0,582,5573.241663
40.0,497,5577.958044
180.0,671,5584.305064
300.0,1149,5595.301642
160.0,858,5603.700173
120.0,680,5610.11202
40.0,430,5614.108326
140.0,672,5620.576029
140.0,573,5625.996521
300.0,1012,5635.412329
80.0,733,5641.964798
300.0,1082,5651.909192
140.0,649,5657.848303
120.0,658,5663.767466
140.0,775,5670.710889
100.0,495,5675.22581
140.0,826,5682.630001
100.0,666,5688.588658
140.0,697,5694.897778
140.0,605,5700.417012
180.0,823,5707.846135
